CONUS_10KM,LONG,LAT
78911,-100.277701833,40.7673825248
78912,-100.158367604,40.771344373
78913,-100.039020252,40.7751942105
78914,-99.9196601495,40.7789320176
78915,-99.8002876728,40.7825577762
78916,-99.680903196,40.7860714681
78917,-99.5615070946,40.7894730759
78918,-99.4420997435,40.7927625828
78919,-99.3226815183,40.7959399719
78920,-99.2032527944,40.799005228
78921,-99.0838139481,40.8019583353
78922,-98.9643653555,40.8047992788
78923,-98.8449073925,40.8075280453
78924,-98.7254404359,40.8101446204
78925,-98.6059648623,40.8126489916
78926,-98.4864810484,40.815041146
78927,-98.3669893711,40.8173210716
78928,-98.2474902071,40.8194887571
78929,-98.1279839342,40.8215441917
78930,-98.00847093,40.8234873653
78931,-97.888951571,40.8253182677
78932,-97.7694262355,40.8270368906
78933,-97.6498953013,40.8286432244
78934,-97.5303591455,40.8301372617
78935,-97.4108181462,40.8315189949
78936,-97.2912726829,40.8327884171
78937,-97.1717231323,40.8339455218
78938,-97.0521698728,40.8349903034
78939,-96.9326132831,40.8359227563
78940,-96.813053741,40.8367428764
78941,-96.6934916247,40.8374506596
78942,-96.5739273135,40.8380461014
78943,-96.4543611851,40.8385292
78944,-96.3347936181,40.8388999521
78945,-96.2152249913,40.8391583566
78946,-96.0956556828,40.8393044115
78947,-95.9760860716,40.8393381168
78948,-95.856516536,40.8392594717
79359,-102.073507539,40.7836347326
79360,-101.954266073,40.789281516
79361,-101.835005831,40.7948164963
79362,-101.715727185,40.8002396459
79363,-101.596430506,40.8055509377
79364,-101.477116166,40.8107503454
79365,-101.357784537,40.8158378431
79366,-101.238435992,40.8208134055
79367,-101.119070904,40.8256770083
79368,-100.999689647,40.8304286265
79369,-100.880292593,40.8350682369
79370,-100.760880117,40.839595816
79371,-100.641452593,40.8440113418
79372,-100.522010395,40.8483147919
79373,-100.402553897,40.8525061449
79374,-100.283083477,40.85658538
79375,-100.163599507,40.8605524767
79376,-100.044102363,40.8644074151
79377,-99.9245924229,40.868150176
79378,-99.8050700609,40.8717807407
79379,-99.6855356536,40.8752990909
79380,-99.5659895775,40.8787052091
79381,-99.446432209,40.8819990789
79382,-99.3268639255,40.8851806825
79383,-99.2072851041,40.888250005
79384,-99.087696122,40.8912070306
79385,-98.9680973566,40.8940517444
79386,-98.8484891852,40.8967841324
79387,-98.7288719862,40.8994041809
79388,-98.6092461377,40.9019118767
79389,-98.4896120182,40.9043072074
79390,-98.3699700051,40.9065901605
79391,-98.2503204772,40.9087607246
79392,-98.130663813500007,40.9108188896
79393,-98.0110003924,40.9127646439
79394,-97.8913305932,40.9145979788
79395,-97.7716547952,40.9163188852
79396,-97.6519733767,40.917927353
79397,-97.5322867166,40.9194233756
79398,-97.4125951955,40.920806945
79399,-97.2928991928,40.9220780541
79400,-97.1731990875,40.9232366968
79401,-97.0534952596,40.924282867
79402,-96.9337880886,40.9252165595
79403,-96.8140779544,40.9260377697
79404,-96.6943652359,40.9267464936
79405,-96.5746503139,40.9273427274
79406,-96.4549335681,40.9278264677
79407,-96.3352153784,40.928197713
79408,-96.2154961247,40.9284564609
79409,-96.095776187,40.9286027104
79410,-95.9760559452,40.92863646
79411,-95.8563357796,40.9285577105
79822,-102.081147549,40.8727467185
79823,-101.961756882,40.8784009797
79824,-101.842347368,40.8839432916
