SITE,DEPLOYMENT,NIGHT,SPECIES,COUNT,MLE
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-29,MYTH,0.0,1.0
FtRP_R17,FtRP_R17_NE_BAT_037,2015-06-29,MYVO,1.0,0.2439824
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-24,EPFU,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-24,LABO,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-24,LACI,1.0,0.0151634
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-24,LANO,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-24,MYCI,1.0,0.1669041
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-24,MYLU,1.0,0.2703277
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-24,MYSE,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-24,MYTH,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-24,MYVO,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-25,EPFU,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-25,LABO,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-25,LACI,3.0,4.8e-6
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-25,LANO,1.0,0.9986156
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-25,MYCI,3.0,0.0419386
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-25,MYLU,1.0,0.9185353
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-25,MYSE,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-25,MYTH,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-25,MYVO,3.0,0.0499387
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-26,EPFU,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-26,LABO,1.0,0.43585
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-26,LACI,1.0,0.0150968
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-26,LANO,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-26,MYCI,4.0,0.0481883
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-26,MYLU,1.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-26,MYSE,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-26,MYTH,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-26,MYVO,7.0,1.203e-4
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-27,EPFU,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-27,LABO,1.0,0.4049505
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-27,LACI,3.0,1.4e-5
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-27,LANO,2.0,0.7680977
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-27,MYCI,1.0,0.9249474
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-27,MYLU,1.0,0.998286
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-27,MYSE,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-27,MYTH,0.0,1.0
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-27,MYVO,6.0,1.795e-4
FtRP_R17,FtRP_R17_NW_BAT_041,2015-06-28,EPFU,0.0,1.0
