CONUS10k,Tree_TCA,Tree_CONNECT_,Tree_CLUMPY,Tree_NDCA,Water_CLUMPY,Water_CA,Developed_CA
82121,43.29,4.203,0.6683,38.0,0.878,4.32,441.09
82122,0.45,10.0663,0.3074,2.0,0.8,0.72,331.02
82123,0.45,6.6614,0.4122,5.0,0.9322,93.42,291.51
82124,2.07,3.9395,0.4402,11.0,0.7499,3.87,686.79
82125,27.81,4.5228,0.7711,5.0,NA,NA,296.37
82126,0.0,8.9422,0.3579,0.0,NA,NA,310.86
82127,0.18,8.7079,0.382,2.0,NA,NA,371.07
82128,0.0,10.4615,0.2496,0.0,NA,NA,216.99
82129,0.0,7.1429,0.2352,0.0,0.6111,1.17,587.79
82130,0.0,7.1429,0.2221,0.0,NA,NA,336.15
82131,0.0,0.0,0.3846,0.0,NA,NA,257.94
82132,0.0,14.7059,0.2764,0.0,NA,NA,220.23
82133,0.63,6.3388,0.4109,5.0,NA,NA,141.48
82134,0.0,4.1633,0.1951,0.0,0.8125,1.89,206.64
82135,4.05,3.7692,0.427,23.0,0.8181,6.21,195.48
82136,86.58,2.449,0.6027,84.0,0.7339,125.46,111.69
82137,80.37,1.4477,0.5428,176.0,0.7827,193.59,329.49
82138,78.21,3.0915,0.633,77.0,0.9221,685.71,184.59
82139,8.55,4.804,0.5367,38.0,0.9684,338.58,79.65
82140,0.0,9.5798,0.24,0.0,0.8333,0.81,38.43
82141,0.72,8.9899,0.4429,3.0,NA,NA,NA
82142,0.0,0.0,-1.0,0.0,NA,NA,NA
82143,0.72,16.1905,0.5467,1.0,NA,0.09,NA
82144,5.76,7.9312,0.538,19.0,0.5,0.27,NA
82145,1.08,8.1585,0.4305,7.0,-1.0,0.18,NA
82146,0.63,9.0506,0.372,5.0,0.3735,5.94,NA
82147,NA,NA,NA,NA,NA,NA,40.77
82148,0.0,0.0,NA,0.0,NA,NA,NA
82149,0.0,12.1212,0.0908,0.0,1.0,0.18,72.54
82150,0.0,2.3222,0.2897,0.0,0.5053,4.77,273.33
82151,0.54,2.6667,0.3891,2.0,0.3526,5.31,217.62
82152,0.63,2.4096,0.3688,5.0,0.7405,8.19,204.39
82153,28.17,2.3435,0.5614,58.0,0.6962,14.67,362.43
82154,220.86,1.4807,0.6029,299.0,0.5308,16.92,203.76
82155,269.01,1.4276,0.5941,407.0,0.5461,8.64,187.38
82156,173.61,1.9363,0.5866,321.0,0.5452,19.89,221.4
82157,9.81,1.7586,0.4787,28.0,0.5718,9.36,412.92
82158,51.39,1.1974,0.5177,115.0,0.742,19.35,734.94
82159,51.84,1.267,0.5188,112.0,0.4424,3.33,239.94
82160,14.13,1.5825,0.4797,56.0,0.4105,3.06,312.39
82161,50.58,1.3336,0.5249,114.0,0.8114,47.61,252.72
82162,102.96,1.421,0.5699,153.0,0.8776,237.69,335.43
82163,27.18,1.2995,0.5044,54.0,0.3584,9.72,282.69
82164,20.52,1.528,0.5062,47.0,0.3248,2.25,208.53
82165,103.41,1.521,0.5624,125.0,0.8803,547.38,277.02
82166,48.51,2.1453,0.5877,94.0,0.8731,90.18,258.12
82167,20.25,1.5595,0.511,36.0,0.6465,16.56,275.85
82168,76.68,1.4383,0.574,124.0,0.4931,11.79,242.37
82169,128.43,1.3416,0.6241,138.0,0.4512,9.81,201.69
82170,196.92,1.2179,0.6192,225.0,0.467,22.68,247.23
82171,183.78,1.5563,0.645,184.0,0.6554,119.34,273.51
82172,261.09,1.681,0.6449,274.0,0.523,14.49,219.69
82173,563.76,1.583,0.702,290.0,0.7228,153.09,403.92
