FID_NAbat_,CONUS_10KM
1550.0,86333.0
1084.0,83090.0
893.0,81715.0
952.0,82169.0
1364.0,84954.0
203.0,76162.0
560.0,79379.0
1438.0,85424.0
1436.0,85422.0
898.0,81720.0
966.0,82183.0
881.0,81703.0
800.0,81228.0
1144.0,83546.0
870.0,81692.0
1351.0,84941.0
821.0,81249.0
1350.0,84940.0
557.0,79376.0
1290.0,84484.0
1283.0,84477.0
887.0,81709.0
1408.0,85394.0
944.0,82161.0
1215.0,84013.0
79.0,75225.0
180.0,76139.0
395.0,77985.0
1017.0,82628.0
1494.0,85878.0
830.0,81258.0
482.0,78481.0
1090.0,83096.0
1423.0,85409.0
83.0,75229.0
246.0,76612.0
819.0,81247.0
949.0,82166.0
1363.0,84953.0
616.0,79845.0
618.0,79847.0
620.0,79849.0
621.0,79850.0
668.0,80306.0
669.0,80307.0
670.0,80308.0
675.0,80313.0
676.0,80314.0
734.0,80768.0
735.0,80769.0
736.0,80770.0
803.0,81231.0
950.0,82167.0
424.0,78014.0
286.0,77060.0
810.0,81238.0
1484.0,85868.0
1420.0,85406.0
744.0,80778.0
1368.0,84958.0
1604.0,86786.0
230.0,76596.0
66.0,75212.0
965.0,82182.0
614.0,79843.0
671.0,80309.0
1103.0,83109.0
1422.0,85408.0
1288.0,84482.0
638.0,79867.0
1216.0,84014.0
1299.0,84493.0
1558.0,86341.0
888.0,81710.0
1411.0,85397.0
889.0,81711.0
19.0,74760.0
555.0,79374.0
87.0,75233.0
532.0,78941.0
1419.0,85405.0
1352.0,84942.0
63.0,75209.0
762.0,80796.0
1004.0,82615.0
263.0,76629.0
146.0,75698.0
1482.0,85866.0
1537.0,86320.0
21.0,74762.0
895.0,81717.0
738.0,80772.0
481.0,78480.0
1214.0,84012.0
959.0,82176.0
940.0,82157.0
1491.0,85875.0
1208.0,84006.0
1141.0,83543.0
133.0,75685.0
1075.0,83081.0
1148.0,83550.0
682.0,80320.0
1358.0,84948.0
1425.0,85411.0
1353.0,84943.0
505.0,78914.0
189.0,76148.0
732.0,80766.0
875.0,81697.0
811.0,81239.0
70.0,75216.0
1074.0,83080.0
504.0,78913.0
1607.0,86789.0
816.0,81244.0
1552.0,86335.0
425.0,78015.0
23.0,74764.0
175.0,76134.0
1025.0,82636.0
640.0,79869.0
937.0,82154.0
1547.0,86330.0
1603.0,86785.0
1278.0,84472.0
1224.0,84022.0
1540.0,86323.0
502.0,78911.0
1505.0,85889.0
204.0,76163.0
564.0,79383.0
743.0,80777.0
24.0,74765.0
176.0,76135.0
1373.0,84963.0
1023.0,82634.0
871.0,81693.0
1548.0,86331.0
867.0,81689.0
507.0,78916.0
1427.0,85413.0
805.0,81233.0
318.0,77092.0
76.0,75222.0
1006.0,82617.0
340.0,77522.0
371.0,77553.0
831.0,81259.0
665.0,80303.0
132.0,75684.0
1481.0,85865.0
131.0,75683.0
809.0,81237.0
1362.0,84952.0
807.0,81235.0
880.0,81702.0
314.0,77088.0
94.0,75240.0
878.0,81700.0
879.0,81701.0
1545.0,86328.0
1538.0,86321.0
259.0,76625.0
673.0,80311.0
480.0,78479.0
1236.0,84034.0
69.0,75215.0
86.0,75232.0
205.0,76164.0
747.0,80781.0
1488.0,85872.0
65.0,75211.0
1139.0,83541.0
1291.0,84485.0
938.0,82155.0
943.0,82160.0
1158.0,83560.0
1365.0,84955.0
1546.0,86329.0
1157.0,83559.0
35.0,74776.0
1553.0,86336.0
639.0,79868.0
26.0,74767.0
1417.0,85403.0
1237.0,84035.0
731.0,80765.0
84.0,75230.0
1473.0,85857.0
