file,ZCA,thisDate,start_Time,end_Time,errors,btryDead,warnings,buffer,first_btry,last_btry,mean_temp,min_temp,mid_n_temp
F:/2015 ZCA Files/LA_R6/LA_R6_NW_001/SN314271 2015-07-05 log.csv,a:/SN314271 2015-07-05.zca,2015-07-05,20:52:47,06:43:14,0,NA,0,0,12:00:00,06:39:43,1789.0,1600.0,1781.0
F:/2015 ZCA Files/LA_R6/LA_R6_NW_001/SN314271 2015-07-06 log.csv,a:/SN314271 2015-07-06.zca,2015-07-06,20:52:29,06:43:53,0,NA,0,0,12:00:00,06:39:24,1329.0,1050.0,1419.0
F:/2015 ZCA Files/LA_R6/LA_R6_NW_001/SN314271 2015-07-07 log.csv,a:/SN314271 2015-07-07.zca,2015-07-07,20:52:08,21:43:18,0,NA,0,0,12:00:00,21:42:18,1945.0,1875.0,NaN
F:/2015 ZCA Files/LA_R6/LA_R6_SE_G4/SN314299 2015-07-01 log.csv,a:/SN314299 2015-07-01.zca,2015-07-01,20:53:41,06:40:58,0,NA,0,0,20:27:00,06:40:37,1892.0,1650.0,1862.0
F:/2015 ZCA Files/LA_R6/LA_R6_SE_G4/SN314299 2015-07-02 log.csv,a:/SN314299 2015-07-02.zca,2015-07-02,20:53:31,06:41:31,0,NA,0,0,12:00:00,06:40:27,1597.0,1350.0,1656.0
F:/2015 ZCA Files/LA_R6/LA_R6_SE_G4/SN314299 2015-07-03 log.csv,a:/SN314299 2015-07-03.zca,2015-07-03,20:53:19,06:42:06,0,NA,0,0,12:00:00,06:40:14,1763.0,1575.0,1794.0
F:/2015 ZCA Files/LA_R6/LA_R6_SE_G4/SN314299 2015-07-04 log.csv,a:/SN314299 2015-07-04.zca,2015-07-04,20:53:05,06:42:42,0,NA,0,0,12:00:00,06:40:01,2252.0,1700.0,2419.0
F:/2015 ZCA Files/LA_R6/LA_R6_SE_G4/SN314299 2015-07-05 log.csv,a:/SN314299 2015-07-05.zca,2015-07-05,20:52:50,06:43:19,0,NA,0,0,12:00:00,06:39:46,1853.0,1625.0,1838.0
F:/2015 ZCA Files/LA_R6/LA_R6_SE_G4/SN314299 2015-07-06 log.csv,a:/SN314299 2015-07-06.zca,2015-07-06,20:52:30,06:43:59,0,NA,0,0,12:00:00,06:39:26,1265.0,975.0,1331.0
F:/2015 ZCA Files/LA_R6/LA_R6_SE_G4/SN314299 2015-07-07 log.csv,a:/SN314299 2015-07-07.zca,2015-07-07,20:52:10,21:59:55,0,NA,0,0,12:00:00,21:57:23,1939.0,1750.0,NaN
F:/2015 ZCA Files/LA_R6/LA_R6_SW_BAT_033/SN314293 2015-07-01 log.csv,a:/SN314293 2015-07-01.zca,2015-07-01,20:53:43,06:41:15,0,NA,0,0,17:15:53,06:40:39,1784.0,1475.0,1838.0
F:/2015 ZCA Files/LA_R6/LA_R6_SW_BAT_033/SN314293 2015-07-02 log.csv,a:/SN314293 2015-07-02.zca,2015-07-02,20:53:33,06:41:48,0,NA,0,0,12:00:00,06:40:28,1541.0,1275.0,1600.0
F:/2015 ZCA Files/LA_R6/LA_R6_SW_BAT_033/SN314293 2015-07-03 log.csv,a:/SN314293 2015-07-03.zca,2015-07-03,20:53:21,06:42:22,0,NA,0,0,12:00:00,06:40:16,1652.0,1450.0,1688.0
F:/2015 ZCA Files/LA_R6/LA_R6_SW_BAT_033/SN314293 2015-07-04 log.csv,a:/SN314293 2015-07-04.zca,2015-07-04,20:53:07,06:42:58,0,NA,0,0,12:00:00,06:40:01,2083.0,1550.0,2300.0
F:/2015 ZCA Files/LA_R6/LA_R6_SW_BAT_033/SN314293 2015-07-05 log.csv,a:/SN314293 2015-07-05.zca,2015-07-05,20:52:51,06:43:36,0,NA,0,0,12:00:00,06:39:47,1663.0,1425.0,1669.0
F:/2015 ZCA Files/LA_R6/LA_R6_SW_BAT_033/SN314293 2015-07-06 log.csv,a:/SN314293 2015-07-06.zca,2015-07-06,20:52:33,06:44:15,0,NA,0,0,12:00:00,06:39:28,1220.0,925.0,1275.0
F:/2015 ZCA Files/LA_R6/LA_R6_SW_BAT_033/SN314293 2015-07-07 log.csv,a:/SN314293 2015-07-07.zca,2015-07-07,20:52:12,21:28:24,0,NA,0,0,12:00:00,21:27:19,1788.0,1725.0,NaN
F:/2015 ZCA Files/LaGDH_1/LaGDH_1_NE_BAT_010/SN314228 2015-07-24 log.csv,a:/SN314228 2015-07-24.zca,2015-07-24,20:16:54,06:45:58,0,NA,0,0,14:30:50,06:43:57,2385.0,2125.0,2519.0
F:/2015 ZCA Files/LaGDH_1/LaGDH_1_NE_BAT_010/SN314228 2015-07-25 log.csv,a:/SN314228 2015-07-25.zca,2015-07-25,20:16:03,06:46:51,0,NA,1,1,12:00:00,06:43:06,2323.0,2175.0,2344.0
F:/2015 ZCA Files/LaGDH_1/LaGDH_1_NE_BAT_010/SN314228 2015-07-26 log.csv,a:/SN314228 2015-07-26.zca,2015-07-26,20:15:09,06:47:45,0,NA,0,0,12:00:00,06:47:13,2684.0,2475.0,2650.0
F:/2015 ZCA Files/LaGDH_1/LaGDH_1_NE_BAT_010/SN314228 2015-07-27 log.csv,a:/SN314228 2015-07-27.zca,2015-07-27,20:14:14,06:48:39,0,NA,0,0,12:00:00,06:46:18,2633.0,2450.0,2592.0
F:/2015 ZCA Files/LaGDH_1/LaGDH_1_NE_BAT_010/SN314228 2015-07-28 log.csv,a:/SN314228 2015-07-28.zca,2015-07-28,20:13:17,06:49:34,0,NA,3,3,12:00:00,06:45:22,2056.0,1775.0,2012.0
F:/2015 ZCA Files/LaGDH_1/LaGDH_1_NE_BAT_010/SN314228 2015-07-29 log.csv,a:/SN314228 2015-07-29.zca,2015-07-29,20:12:18,06:50:29,0,NA,0,0,12:00:00,06:49:22,1933.0,1675.0,1938.0
F:/2015 ZCA Files/LaGDH_1/LaGDH_1_NW_988C/SN314105 2015-07-24 log.csv,a:/SN314105 2015-07-24.zca,2015-07-24,20:17:06,06:46:18,0,NA,0,0,17:04:26,06:44:09,2373.0,2075.0,2525.0
F:/2015 ZCA Files/LaGDH_1/LaGDH_1_NW_988C/SN314105 2015-07-25 log.csv,a:/SN314105 2015-07-25.zca,2015-07-25,20:16:14,06:47:11,0,NA,0,0,12:00:00,06:43:17,2304.0,2100.0,2350.0
F:/2015 ZCA Files/LaGDH_1/LaGDH_1_NW_988C/SN314105 2015-07-26 log.csv,a:/SN314105 2015-07-26.zca,2015-07-26,20:15:20,06:48:05,0,NA,0,0,12:00:00,06:47:25,2628.0,2425.0,2600.0
